'+++++++++++++++++++++
Race
'+++++++++++++++++++++

Game:, "Assetto Corsa"
Session:, "Race"
Track:, "acu_unitedstates, ACF_2024"
Winner, "GTP-AFS 135"
Led most laps, "GTP-WATT 028"
Best lap, "GTP-WATT 028 (01:51.4600)"
Lasted laps, "184"
Host, "Unknown"


Race result
'======================
Pos,    Class, Team, Vehicle, Driver, Laps, Time/Retired, Best lap, Consistency, Led, Pits,
"1",  "", "AFS Racing #1", "lm_hypercar_v_series_r", "GTP-AFS 135", "184", "    06:01:28.9910", "01:51.5510", "98.26%", "49", "0", 
"2",  "", "Moritz Racing eSports #1", "lmdh_bmw_m_hybrid_2022", "GTP-MoritzR 010", "184", "  '+00:00:10.0400", "01:51.7780", "98.64%", "0", "0", 
"3",  "", "WATT E-Racing #2", "lmdh_porsche_963", "GTP-WATT 028", "184", "  '+00:01:23.5670", "01:51.4600", "98.30%", "79", "0", 
"4",  "", "Cosenza Corse", "lmdh_bmw_m_hybrid_2022", "GTP-CosenzaC 696", "183", "  '+00:03:11.2820", "01:53.6030", "98.19%", "1", "0", 
"5",  "", "Piloti della Notte", "lm_hypercar_sc63", "GTP-PdN 016", "183", "  '+00:03:11.6540", "01:51.6150", "98.19%", "39", "0", 
"6",  "", "OS Front Row", "lm_hypercar_arx06", "GTP-OSFR 020", "182", "  '+00:04:42.4640", "01:52.2400", "97.98%", "15", "0", 
"7",  "", "Duck Tales", "lmp2_ligier_jsp217", "LMP2-DuckTales 313", "179", "  '+00:09:42.7370", "01:54.4290", "98.44%", "0", "0", 
"8",  "", "Sputnik Racing #1", "lmp2_ligier_jsp217", "LMP2-Sputnik 014", "179", "  '+00:09:49.7560", "01:54.1380", "98.23%", "0", "0", 
"9",  "", "Phoenix Motorsport", "urd_loire07_21", "LMP2-Phoenix 208", "178", "  '+00:11:36.0640", "01:55.5540", "98.19%", "0", "0", 
"10",  "", "Kaliente Racing Team #1", "urd_loire07_21", "LMP2-KRT 013", "177", "  '+00:13:11.4420", "01:55.3610", "98.65%", "0", "0", 
"11",  "", "F1HC Endurance Team #1", "lmp2_ligier_jsp217", "LMP2-F1HC 929", "174", "  '+00:19:02.5620", "01:56.1680", "96.68%", "0", "0", 
"12",  "", "ITLA Competition", "acfsk_duqueine_d08_lmp3_2020", "LMP3-ITLA 770", "170", "  '+00:27:16.2380", "02:00.4710", "98.18%", "0", "0", 
"13",  "", "F1HC Endurance Team #2", "acfsk_ligier_jsp320", "LMP3-F1HC 999", "170", "  '+00:28:13.0450", "01:59.7600", "98.13%", "0", "0", 
"14",  "", "Italia Racing Team", "acfsk_ligier_jsp320", "LMP3-IRT 939", "169", "  '+00:28:11.7610", "02:00.4750", "98.17%", "0", "0", 
"15",  "", "Segurelev eSports", "acfsk_adess_03_evo", "LMP3-Segurelev 056", "168", "  '+00:31:04.2410", "02:00.8980", "97.80%", "0", "0", 
"16",  "", "Italia Racing Team #2", "acfsk_ligier_jsp320", "LMP3-IRT 222", "167", "  '+00:32:11.5320", "02:00.5730", "98.05%", "0", "0", 
"17",  "", "VIG Project Strato", "porsche_992_gt3_r", "GTD-VIG 666", "164", "  '+00:42:08.5600", "02:05.4650", "98.84%", "0", "0", 
"18",  "", "BeSerious ACRT Racing #1", "acfsk_ginetta_g61_lt_p3", "LMP3-ACRT 058", "163", "  '+00:41:15.9380", "01:59.9380", "97.11%", "0", "0", 
"19",  "", "Tradition Simsport", "lamborghini_huracan_gt3_evo2", "GTD-TSP 026", "162", "  '+00:41:28.1130", "02:06.2260", "98.66%", "0", "0", 
"20",  "", "BeSerious ACRT Racing #3", "fsr_audi_lms_evo_ii_gt3", "GTD-ACRT 907", "162", "  '+00:42:46.2340", "02:05.7210", "99.10%", "0", "0", 
"21",  "", "BeSerious ACRT Racing #2", "fsr_audi_lms_evo_ii_gt3", "GTD-ACRT 191", "160", "  '+00:45:38.2260", "02:06.4480", "96.47%", "0", "0", 
"22",  "", "AFS Racing #2", "lamborghini_huracan_gt3_evo2", "GTD-AFS 050", "158", "  '+00:49:11.5120", "02:09.2090", "98.19%", "0", "0", 
"23",  "", "Sputnik Racing #3", "ford_mustang_gt3", "GTD-Sputnik 125", "127", "  '+00:34:51.3660", "02:09.0040", "97.56%", "0", "0", 
"24",  "", "Diesel Simsport", "lmp2_ligier_jsp217", "LMP2-Diesel 917", "94", "  '+00:08:40.7810", "01:55.6530", "97.94%", "0", "0", 
"25",  "", "TescoMealDeal", "urd_loire07_21", "LMP2-TescoMD 099", "82", " ", "01:57.8440", "96.62%", "0", "0", 
"26",  "", "Moritz Racing eSports #2", "acfsk_ginetta_g61_lt_p3", "LMP3-MoritzR 455", "47", " ", "02:01.0050", "98.45%", "0", "0", 
"27",  "", "Infinity Racing Team", "acfsk_adess_03_evo", "LMP3-Infinity 036", "33", " ", "02:12.8860", "97.36%", "0", "0", 
"28",  "", "Apex EVO", "ng_lexus_rcf_gt3", "GTD-APEX 007", "2", " ", "-", "-", "0", "0", 
"29",  "", "ACF", "acfsk_corvette_c8r", "Safetycar SC1", "1", " ", "-", "-", "1", "0", 
"30",  "", "ACF", "acfsk_corvette_c8r", "Safetycar SC2", "1", " ", "04:22.8470", "-", "0", "0", 
"31",  "", "SOYUZ SimRacing Team", "lm_hypercar_v_series_r", "GTP-SOYUZ 091", "0", " DNF", "-", "-", "0", "0", 
"32",  "", "Bees E-Sports", "lmp2_dallara_p217", "LMP2-Bees 774", "0", " DNF", "-", "-", "0", "0", 
"33",  "", "Sputnik Racing #2", "acfsk_ginetta_g61_lt_p3", "LMP3-Sputnik 041", "0", " DNF", "-", "-", "0", "0", 
"34",  "", "Sunset Outrun", "urd_bayro_gt3_v2", "GTD-Sunset 722", "0", " DNF", "-", "-", "0", "0", 
"35",  "", "Kaliente Racing Team #2", "porsche_992_gt3_r", "GTD-KRT 113", "0", " DNF", "-", "-", "0", "0", 
"36",  "", "DRC Galaxy", "urd_bayro_gt3_v2", "GTD-DRC 450", "0", " DNF", "-", "-", "0", "0", 
"37",  "", "ACF", "acfsk_corvette_c8r", "LiveReco", "0", " DNF", "-", "-", "0", "0", 
"38",  "", "ACF", "acfsk_corvette_c8r", "Stream", "0", " DNF", "-", "-", "0", "0", 


Race laps
'======================
Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"GTP-AFS 135"
"1 ", lm_hypercar_v_series_r, no,"0", "03:34.5460", "74.7400", "66.6180", "73.1880",  "F:M - R:M",     
"2 ", lm_hypercar_v_series_r, no,"0", "02:06.0010", "42.6210", "44.4060", "38.9740",  "F:M - R:M",     
"3 ", lm_hypercar_v_series_r, no,"0", "01:53.0140", "30.9920", "43.4570", "38.5650",  "F:M - R:M",     
"4 ", lm_hypercar_v_series_r, no,"0", "01:53.5590", "30.9110", "44.0730", "38.5750",  "F:M - R:M",     
"5 ", lm_hypercar_v_series_r, no,"0", "01:53.0530", "30.8240", "43.7230", "38.5060",  "F:M - R:M",     
"6 ", lm_hypercar_v_series_r, no,"0", "01:53.6130", "30.8890", "43.8440", "38.8800",  "F:M - R:M",     
"7 ", lm_hypercar_v_series_r, no,"0", "01:54.8800", "31.8960", "44.3250", "38.6590",  "F:M - R:M",     
"8 ", lm_hypercar_v_series_r, no,"0", "01:53.0630", "30.7770", "43.5240", "38.7620",  "F:M - R:M",     
"9 ", lm_hypercar_v_series_r, no,"0", "01:53.2090", "31.3040", "43.2100", "38.6950",  "F:M - R:M",     
"10 ", lm_hypercar_v_series_r, no,"0", "01:53.1710", "30.6370", "43.4300", "39.1040",  "F:M - R:M",     
"11 ", lm_hypercar_v_series_r, no,"0", "01:53.2670", "30.9260", "43.6780", "38.6630",  "F:M - R:M",     
"12 ", lm_hypercar_v_series_r, no,"0", "01:52.5340", "31.0440", "43.0370", "38.4530",  "F:M - R:M",     
"13 ", lm_hypercar_v_series_r, no,"0", "01:52.8110", "31.0060", "43.1550", "38.6500",  "F:M - R:M",     
"14 ", lm_hypercar_v_series_r, no,"0", "01:54.6310", "32.1680", "43.9920", "38.4710",  "F:M - R:M",     
"15 ", lm_hypercar_v_series_r, no,"0", "01:53.0540", "30.7130", "43.1280", "39.2130",  "F:M - R:M",     
"16 ", lm_hypercar_v_series_r, no,"0", "01:53.6460", "31.0790", "43.9430", "38.6240",  "F:M - R:M",     
"17 ", lm_hypercar_v_series_r, no,"0", "01:53.5300", "31.3560", "43.7030", "38.4710",  "F:M - R:M",     
"18 ", lm_hypercar_v_series_r, no,"0", "01:52.8480", "30.9930", "43.1270", "38.7280",  "F:M - R:M",     
"19 ", lm_hypercar_v_series_r, no,"0", "01:52.5900", "30.9590", "43.3350", "38.2960",  "F:M - R:M",     
"20 ", lm_hypercar_v_series_r, no,"0", "01:52.8550", "30.8870", "43.4710", "38.4970",  "F:M - R:M",     
"21 ", lm_hypercar_v_series_r, no,"0", "01:54.6070", "31.5370", "44.4550", "38.6150",  "F:M - R:M",     
"22 ", lm_hypercar_v_series_r, no,"0", "01:52.9820", "30.7320", "43.3120", "38.9380",  "F:M - R:M",     
"23 ", lm_hypercar_v_series_r, no,"0", "01:53.8030", "31.3400", "43.9110", "38.5520",  "F:M - R:M",     
"24 ", lm_hypercar_v_series_r, no,"0", "01:53.3510", "30.8130", "43.2180", "39.3200",  "F:M - R:M",     
"25 ", lm_hypercar_v_series_r, no,"0", "01:52.6920", "31.0080", "43.1910", "38.4930",  "F:M - R:M",     
"26 ", lm_hypercar_v_series_r, no,"0", "01:55.5730", "31.8960", "44.8010", "38.8760",  "F:M - R:M",     
"27 ", lm_hypercar_v_series_r, no,"0", "01:52.9370", "30.7040", "43.4170", "38.8160",  "F:M - R:M",     
"28 ", lm_hypercar_v_series_r, no,"0", "01:53.3170", "30.8550", "43.8430", "38.6190",  "F:M - R:M",     
"29 ", lm_hypercar_v_series_r, no,"0", "01:53.4500", "30.8980", "43.8120", "38.7400",  "F:M - R:M",     
"30 ", lm_hypercar_v_series_r, no,"0", "01:52.8850", "30.7600", "43.5960", "38.5290",  "F:M - R:M",     
"31 ", lm_hypercar_v_series_r, no,"0", "01:59.7870", "30.8660", "50.0490", "38.8720",  "F:M - R:M",     
"32 ", lm_hypercar_v_series_r, no,"0", "01:53.9040", "30.8250", "43.6400", "39.4390",  "F:M - R:M",     
"33 ", lm_hypercar_v_series_r, no,"0", "01:55.1010", "31.0490", "44.5190", "39.5330",  "F:M - R:M",     
"34 ", lm_hypercar_v_series_r, no,"0", "01:54.1010", "30.9960", "44.3330", "38.7720",  "F:M - R:M",     
"35 ", lm_hypercar_v_series_r, no,"0", "01:52.9070", "30.9130", "43.2220", "38.7720",  "F:M - R:M",     
"36 ", lm_hypercar_v_series_r, no,"0", "01:52.9880", "30.8540", "43.6050", "38.5290",  "F:M - R:M",     
"37 ", lm_hypercar_v_series_r, no,"0", "01:53.8520", "30.9090", "44.2430", "38.7000",  "F:M - R:M",     
"38 ", lm_hypercar_v_series_r, no,"0", "01:53.1730", "30.9000", "43.5330", "38.7400",  "F:M - R:M",     
"39 ", lm_hypercar_v_series_r, no,"0", "01:55.6910", "31.6990", "43.9060", "40.0860",  "F:M - R:M",     
"40 ", lm_hypercar_v_series_r, no,"0", "04:55.1620", "211.0710", "44.7790", "39.3120",  "F:M - R:M",     
"41 ", lm_hypercar_v_series_r, no,"0", "01:54.7650", "31.6720", "44.3110", "38.7820",  "F:M - R:M",     
"42 ", lm_hypercar_v_series_r, no,"0", "01:53.7770", "31.2110", "43.7270", "38.8390",  "F:M - R:M",     
"43 ", lm_hypercar_v_series_r, no,"0", "01:54.3030", "31.1600", "43.9340", "39.2090",  "F:M - R:M",     
"44 ", lm_hypercar_v_series_r, no,"0", "01:52.8010", "31.0630", "43.4340", "38.3040",  "F:M - R:M",     
"45 ", lm_hypercar_v_series_r, no,"0", "01:54.9720", "30.7810", "43.8300", "40.3610",  "F:M - R:M",     
"46 ", lm_hypercar_v_series_r, no,"0", "01:53.2820", "31.2570", "43.3170", "38.7080",  "F:M - R:M",     
"47 ", lm_hypercar_v_series_r, no,"0", "01:53.4160", "31.0160", "43.5340", "38.8660",  "F:M - R:M",     
"48 ", lm_hypercar_v_series_r, no,"0", "01:53.0730", "31.0010", "43.4710", "38.6010",  "F:M - R:M",     
"49 ", lm_hypercar_v_series_r, no,"0", "01:53.6240", "31.2560", "43.4530", "38.9150",  "F:M - R:M",     
"50 ", lm_hypercar_v_series_r, no,"0", "01:53.6950", "31.1830", "43.7400", "38.7720",  "F:M - R:M",     
"51 ", lm_hypercar_v_series_r, no,"0", "01:54.3100", "30.9920", "44.3170", "39.0010",  "F:M - R:M",     
